latitude;longitude;speed;date;;;;24/05/2018 Carlos
36.710695;-4.429553333;4.644853115;Thu May 24 14:04:12 GMT+02:00 2018;;;;
36.71046333;-4.429276667;2.110361099;Thu May 24 14:04:06 GMT+02:00 2018;;;;
36.71021833;-4.429128333;3.464080572;Thu May 24 14:03:56 GMT+02:00 2018;;;;
36.70999833;-4.428858333;2.981785774;Thu May 24 14:03:49 GMT+02:00 2018;;;;
36.7098;-4.428626667;3.567024946;Thu May 24 14:03:41 GMT+02:00 2018;;;;
36.70960333;-4.42839;3.061567783;Thu May 24 14:03:33 GMT+02:00 2018;;;;
36.70934833;-4.428198333;2.240585804;Thu May 24 14:03:21 GMT+02:00 2018;;;;
36.70911;-4.428385;3.846519232;Thu May 24 14:03:12 GMT+02:00 2018;;;;
36.70889833;-4.428621667;4.466244698;Thu May 24 14:03:06 GMT+02:00 2018;;;;
36.70868;-4.428821667;3.452241898;Thu May 24 14:02:59 GMT+02:00 2018;;;;
36.70844167;-4.429055;3.645262718;Thu May 24 14:02:52 GMT+02:00 2018;;;;
36.70819833;-4.429286667;4.40241909;Thu May 24 14:02:45 GMT+02:00 2018;;;;
36.70796833;-4.429513333;4.523893833;Thu May 24 14:02:39 GMT+02:00 2018;;;;
36.707735;-4.429781667;4.668530464;Thu May 24 14:02:34 GMT+02:00 2018;;;;
36.70750167;-4.429993333;5.050969124;Thu May 24 14:02:29 GMT+02:00 2018;;;;
36.70725667;-4.430248333;5.271784782;Thu May 24 14:02:23 GMT+02:00 2018;;;;
36.70698833;-4.430461667;4.039539814;Thu May 24 14:02:16 GMT+02:00 2018;;;;
36.70672333;-4.43061;3.720412254;Thu May 24 14:02:08 GMT+02:00 2018;;;;
36.70647833;-4.430826667;4.812138081;Thu May 24 14:01:59 GMT+02:00 2018;;;;
36.70623;-4.431073333;4.40499258;Thu May 24 14:01:54 GMT+02:00 2018;;;;
36.70599333;-4.431285;3.995273829;Thu May 24 14:01:49 GMT+02:00 2018;;;;
36.70574667;-4.431456667;4.355064869;Thu May 24 14:01:43 GMT+02:00 2018;;;;
36.7055;-4.431661667;3.919609785;Thu May 24 14:01:36 GMT+02:00 2018;;;;
36.70528333;-4.431883333;5.142075062;Thu May 24 14:01:30 GMT+02:00 2018;;;;
36.70505333;-4.432065;4.584630966;Thu May 24 14:01:25 GMT+02:00 2018;;;;
36.70480333;-4.43224;4.340652466;Thu May 24 14:01:19 GMT+02:00 2018;;;;
36.70451333;-4.432363333;4.554777145;Thu May 24 14:01:13 GMT+02:00 2018;;;;
36.70427;-4.432543333;5.354655266;Thu May 24 14:01:08 GMT+02:00 2018;;;;
