latitude;longitude;speed;date;;;;Descripción:
36.71661167;-4.440188333;9.995390892;Thu Apr 19 15:56:07 GMT+02:00 2018;;;;
36.71649833;-4.440528333;8.450194359;Thu Apr 19 15:56:04 GMT+02:00 2018;;;;
36.716415;-4.440863333;5.343331337;Thu Apr 19 15:56:00 GMT+02:00 2018;;;;
36.71627333;-4.44121;5.516278267;Thu Apr 19 15:55:39 GMT+02:00 2018;;;;
36.71622;-4.441581667;8.311220169;Thu Apr 19 15:55:34 GMT+02:00 2018;;;;
36.71616667;-4.44196;8.262835503;Thu Apr 19 15:55:30 GMT+02:00 2018;;;;
36.71611167;-4.442305;8.597920418;Thu Apr 19 15:55:26 GMT+02:00 2018;;;;
36.71605667;-4.442706667;8.961314201;Thu Apr 19 15:55:22 GMT+02:00 2018;;;;
36.71594833;-4.44311;9.215586662;Thu Apr 19 15:55:18 GMT+02:00 2018;;;;
36.71588167;-4.44352;9.291765213;Thu Apr 19 15:55:14 GMT+02:00 2018;;;;
36.715835;-4.443913333;8.916018486;Thu Apr 19 15:55:10 GMT+02:00 2018;;;;
36.71575833;-4.444315;9.505889893;Thu Apr 19 15:55:06 GMT+02:00 2018;;;;
36.71569;-4.444648333;10.95174503;Thu Apr 19 15:55:03 GMT+02:00 2018;;;;
36.71562;-4.44504;12.17369556;Thu Apr 19 15:55:00 GMT+02:00 2018;;;;
36.71551667;-4.445465;12.78827381;Thu Apr 19 15:54:57 GMT+02:00 2018;;;;
36.71543;-4.445898333;13.12438679;Thu Apr 19 15:54:54 GMT+02:00 2018;;;;
36.71535;-4.446341667;12.89533615;Thu Apr 19 15:54:51 GMT+02:00 2018;;;;
36.71527833;-4.446815;11.92508411;Thu Apr 19 15:54:48 GMT+02:00 2018;;;;
36.71521333;-4.447236667;9.784355164;Thu Apr 19 15:54:45 GMT+02:00 2018;;;;
36.71514167;-4.447658333;6.912204742;Thu Apr 19 15:54:41 GMT+02:00 2018;;;;
36.71513667;-4.448068333;1.937414408;Thu Apr 19 15:53:44 GMT+02:00 2018;;;;
36.715055;-4.44839;7.76355505;Thu Apr 19 15:53:37 GMT+02:00 2018;;;;
36.715015;-4.448796667;7.988488674;Thu Apr 19 15:53:33 GMT+02:00 2018;;;;
36.71495333;-4.449143333;5.269211292;Thu Apr 19 15:53:29 GMT+02:00 2018;;;;
36.714845;-4.449498333;3.854754686;Thu Apr 19 15:53:01 GMT+02:00 2018;;;;
36.71477167;-4.449863333;4.789490223;Thu Apr 19 15:52:55 GMT+02:00 2018;;;;
36.7147;-4.450216667;5.987248898;Thu Apr 19 15:52:00 GMT+02:00 2018;;;;
36.714605;-4.450588333;8.488799095;Thu Apr 19 15:51:55 GMT+02:00 2018;;;;
36.714485;-4.45095;10.27076721;Thu Apr 19 15:51:51 GMT+02:00 2018;;;;
36.71435333;-4.451258333;11.58948517;Thu Apr 19 15:51:48 GMT+02:00 2018;;;;
36.71426333;-4.451595;12.21538734;Thu Apr 19 15:51:45 GMT+02:00 2018;;;;
36.714225;-4.451991667;13.39255714;Thu Apr 19 15:51:42 GMT+02:00 2018;;;;
36.71412;-4.452433333;14.66134739;Thu Apr 19 15:51:39 GMT+02:00 2018;;;;
36.71401333;-4.4529;15.11893559;Thu Apr 19 15:51:36 GMT+02:00 2018;;;;
36.71392167;-4.453241667;15.22239494;Thu Apr 19 15:51:34 GMT+02:00 2018;;;;
36.71386167;-4.453586667;15.00621128;Thu Apr 19 15:51:32 GMT+02:00 2018;;;;
36.71378667;-4.454015;14.52082825;Thu Apr 19 15:51:29 GMT+02:00 2018;;;;
36.71371833;-4.454461667;14.57538891;Thu Apr 19 15:51:26 GMT+02:00 2018;;;;
36.71362833;-4.454966667;14.6428175;Thu Apr 19 15:51:23 GMT+02:00 2018;;;;
36.71348167;-4.455445;13.67050743;Thu Apr 19 15:51:20 GMT+02:00 2018;;;;
36.713315;-4.455823333;14.18986225;Thu Apr 19 15:51:17 GMT+02:00 2018;;;;
36.71303333;-4.456115;15.31813335;Thu Apr 19 15:51:14 GMT+02:00 2018;;;;
36.71278333;-4.456275;15.70983696;Thu Apr 19 15:51:12 GMT+02:00 2018;;;;
36.71251667;-4.45645;16.85149002;Thu Apr 19 15:51:10 GMT+02:00 2018;;;;
36.71225;-4.456641667;16.80156326;Thu Apr 19 15:51:08 GMT+02:00 2018;;;;
36.71198667;-4.456875;16.86590385;Thu Apr 19 15:51:06 GMT+02:00 2018;;;;
36.71172333;-4.457151667;16.54934883;Thu Apr 19 15:51:04 GMT+02:00 2018;;;;
36.71151667;-4.457415;16.27757645;Thu Apr 19 15:51:02 GMT+02:00 2018;;;;
36.71135333;-4.457698333;15.61667252;Thu Apr 19 15:51:00 GMT+02:00 2018;;;;
36.71123333;-4.458013333;15.38556194;Thu Apr 19 15:50:58 GMT+02:00 2018;;;;
36.71115167;-4.458363333;14.11265373;Thu Apr 19 15:50:56 GMT+02:00 2018;;;;
36.71110333;-4.45873;13.97779655;Thu Apr 19 15:50:54 GMT+02:00 2018;;;;
36.71112667;-4.459191667;13.72867107;Thu Apr 19 15:50:51 GMT+02:00 2018;;;;
36.71123667;-4.45963;14.08074093;Thu Apr 19 15:50:48 GMT+02:00 2018;;;;
36.71136667;-4.45993;14.49663639;Thu Apr 19 15:50:46 GMT+02:00 2018;;;;
36.71154667;-4.460348333;14.64745045;Thu Apr 19 15:50:43 GMT+02:00 2018;;;;
36.71168833;-4.460643333;14.62377262;Thu Apr 19 15:50:41 GMT+02:00 2018;;;;
36.71182333;-4.46096;14.53832912;Thu Apr 19 15:50:39 GMT+02:00 2018;;;;
36.71196833;-4.461293333;14.21611309;Thu Apr 19 15:50:37 GMT+02:00 2018;;;;
36.71206;-4.461625;13.58918095;Thu Apr 19 15:50:35 GMT+02:00 2018;;;;
36.71217833;-4.462105;12.61790085;Thu Apr 19 15:50:32 GMT+02:00 2018;;;;
36.71224167;-4.462505;11.17925167;Thu Apr 19 15:50:29 GMT+02:00 2018;;;;
36.71218;-4.462873333;10.15546989;Thu Apr 19 15:50:26 GMT+02:00 2018;;;;
36.71226833;-4.463308333;7.055812359;Thu Apr 19 15:50:21 GMT+02:00 2018;;;;
36.712535;-4.463386667;7.514944553;Thu Apr 19 15:50:17 GMT+02:00 2018;;;;
36.71281667;-4.463255;7.441854;Thu Apr 19 15:50:13 GMT+02:00 2018;;;;
36.713105;-4.463043333;1.587918043;Thu Apr 19 15:50:06 GMT+02:00 2018;;;;
36.71346167;-4.463088333;6.435572147;Thu Apr 19 15:49:27 GMT+02:00 2018;;;;
36.71374333;-4.463118333;6.079384327;Thu Apr 19 15:49:23 GMT+02:00 2018;;;;
36.714035;-4.463138333;5.462747097;Thu Apr 19 15:49:06 GMT+02:00 2018;;;;
36.714305;-4.463268333;5.916731834;Thu Apr 19 15:49:01 GMT+02:00 2018;;;;
36.71461333;-4.463315;6.032029629;Thu Apr 19 15:48:56 GMT+02:00 2018;;;;
36.71488;-4.463376667;7.349204063;Thu Apr 19 15:48:52 GMT+02:00 2018;;;;
36.71514833;-4.463475;5.106559277;Thu Apr 19 15:48:48 GMT+02:00 2018;;;;
36.71543;-4.463491667;6.855070591;Thu Apr 19 15:48:37 GMT+02:00 2018;;;;
36.71573667;-4.463461667;6.751611233;Thu Apr 19 15:48:32 GMT+02:00 2018;;;;
36.71603167;-4.463505;0;Thu Apr 19 15:48:26 GMT+02:00 2018;;;;
36.71631167;-4.463648333;7.158756733;Thu Apr 19 15:48:10 GMT+02:00 2018;;;;
36.71663333;-4.46373;5.465320587;Thu Apr 19 15:48:05 GMT+02:00 2018;;;;
36.71693833;-4.463728333;3.802767754;Thu Apr 19 15:48:00 GMT+02:00 2018;;;;
36.71721;-4.463783333;6.004749298;Thu Apr 19 15:47:52 GMT+02:00 2018;;;;
36.717495;-4.463863333;5.431863785;Thu Apr 19 15:47:47 GMT+02:00 2018;;;;
36.71778;-4.463921667;3.037375927;Thu Apr 19 15:47:41 GMT+02:00 2018;;;;
36.71795667;-4.464206667;1.848882198;Thu Apr 19 15:47:16 GMT+02:00 2018;;;;
36.71789333;-4.464548333;5.415907383;Thu Apr 19 15:47:04 GMT+02:00 2018;;;;
36.71779167;-4.4649;4.496613503;Thu Apr 19 15:46:58 GMT+02:00 2018;;;;
36.717575;-4.465111667;5.751506329;Thu Apr 19 15:46:50 GMT+02:00 2018;;;;
36.71740667;-4.4654;7.65134573;Thu Apr 19 15:46:45 GMT+02:00 2018;;;;
36.71734333;-4.46577;8.544388771;Thu Apr 19 15:46:41 GMT+02:00 2018;;;;
36.71729333;-4.466158333;9.019991875;Thu Apr 19 15:46:37 GMT+02:00 2018;;;;
36.71722333;-4.46657;9.241322517;Thu Apr 19 15:46:33 GMT+02:00 2018;;;;
36.71716667;-4.466938333;10.23319244;Thu Apr 19 15:46:30 GMT+02:00 2018;;;;
36.71710333;-4.467375;8.465636253;Thu Apr 19 15:46:26 GMT+02:00 2018;;;;
36.71707167;-4.467736667;7.40067625;Thu Apr 19 15:46:22 GMT+02:00 2018;;;;
36.717085;-4.468138333;6.340863228;Thu Apr 19 15:45:52 GMT+02:00 2018;;;;
36.717055;-4.468485;8.461518288;Thu Apr 19 15:45:48 GMT+02:00 2018;;;;
36.71702667;-4.468878333;8.222172737;Thu Apr 19 15:45:44 GMT+02:00 2018;;;;
36.717;-4.469248333;3.760045767;Thu Apr 19 15:45:39 GMT+02:00 2018;;;;
36.71693833;-4.469611667;7.072798252;Thu Apr 19 15:45:26 GMT+02:00 2018;;;;
36.71683333;-4.469928333;6.245124817;Thu Apr 19 15:45:22 GMT+02:00 2018;;;;
36.716705;-4.470255;1.492694497;Thu Apr 19 15:44:45 GMT+02:00 2018;;;;
36.71670167;-4.470605;6.461822987;Thu Apr 19 15:44:37 GMT+02:00 2018;;;;
36.716685;-4.471006667;7.816571712;Thu Apr 19 15:44:32 GMT+02:00 2018;;;;
36.71665333;-4.471365;7.649286747;Thu Apr 19 15:44:28 GMT+02:00 2018;;;;
36.71662;-4.471718333;8.446077347;Thu Apr 19 15:44:24 GMT+02:00 2018;;;;
36.71658167;-4.472096667;8.01473999;Thu Apr 19 15:44:20 GMT+02:00 2018;;;;
36.716545;-4.472466667;8.498579025;Thu Apr 19 15:44:16 GMT+02:00 2018;;;;
36.71646667;-4.472863333;9.007123947;Thu Apr 19 15:44:12 GMT+02:00 2018;;;;
36.71641;-4.473278333;9.138378143;Thu Apr 19 15:44:08 GMT+02:00 2018;;;;
36.716335;-4.4737;8.758513451;Thu Apr 19 15:44:04 GMT+02:00 2018;;;;
36.71628;-4.474093333;8.030180931;Thu Apr 19 15:44:00 GMT+02:00 2018;;;;
36.71622667;-4.474441667;7.340968132;Thu Apr 19 15:43:56 GMT+02:00 2018;;;;
36.71619333;-4.474793333;5.184282303;Thu Apr 19 15:43:51 GMT+02:00 2018;;;;
36.716385;-4.475078333;0.793186963;Thu Apr 19 15:35:16 GMT+02:00 2018;;;;
36.71616333;-4.475271667;1.177684426;Thu Apr 19 15:34:53 GMT+02:00 2018;;;;
36.71597667;-4.475515;1.417030334;Thu Apr 19 15:34:30 GMT+02:00 2018;;;;
36.71583;-4.475801667;0.934735537;Thu Apr 19 15:34:07 GMT+02:00 2018;;;;
36.71560667;-4.475993333;1.295041084;Thu Apr 19 15:33:44 GMT+02:00 2018;;;;
36.71564;-4.476331667;0.946059465;Thu Apr 19 15:33:23 GMT+02:00 2018;;;;
36.715535;-4.476641667;0.925470531;Thu Apr 19 15:32:57 GMT+02:00 2018;;;;
36.715525;-4.476983333;1.587403297;Thu Apr 19 15:32:40 GMT+02:00 2018;;;;
36.71553667;-4.477331667;0;Thu Apr 19 15:32:13 GMT+02:00 2018;;;;
36.71561;-4.477688333;0;Thu Apr 19 15:32:08 GMT+02:00 2018;;;;
36.71500167;-4.477725;1.867926955;Thu Apr 19 15:31:26 GMT+02:00 2018;;;;
36.71496667;-4.478078333;0;Thu Apr 19 15:31:10 GMT+02:00 2018;;;;
36.71502333;-4.478411667;0;Thu Apr 19 15:30:41 GMT+02:00 2018;;;;
36.71505833;-4.478745;0;Thu Apr 19 15:30:15 GMT+02:00 2018;;;;
36.71509167;-4.47909;0;Thu Apr 19 15:29:52 GMT+02:00 2018;;;;
36.715035;-4.479458333;0;Thu Apr 19 15:29:24 GMT+02:00 2018;;;;
36.71475833;-4.47958;2.556625366;Thu Apr 19 15:28:45 GMT+02:00 2018;;;;
36.71413;-4.479906667;9.07506752;Thu Apr 19 15:28:35 GMT+02:00 2018;;;;
36.71386833;-4.480023333;9.051390648;Thu Apr 19 15:28:31 GMT+02:00 2018;;;;
36.71491833;-4.479461667;0;Thu Apr 19 15:28:29 GMT+02:00 2018;;;;
