latitude;longitude;speed;date;;;;;;;;;
36.71556456;-4.431336927;3.471060753;Thu May 03 09:50:28 GMT+02:00 2018;;;;;;;;;
36.71525599;-4.43142057;3.441864967;Thu May 03 09:50:17 GMT+02:00 2018;;;;;;;;;
36.71498604;-4.431446917;3.603164434;Thu May 03 09:50:11 GMT+02:00 2018;;;;;;;;;
36.71478627;-4.431679826;3.395013809;Thu May 03 09:50:03 GMT+02:00 2018;;;;;;;;;
36.71451848;-4.431866316;1.977495551;Thu May 03 09:49:53 GMT+02:00 2018;;;;;;;;;
36.71427915;-4.431701517;3.587615252;Thu May 03 09:49:41 GMT+02:00 2018;;;;;;;;;
36.71397089;-4.431695905;2.431535006;Thu May 03 09:49:35 GMT+02:00 2018;;;;;;;;;
36.71371862;-4.43183284;4.188393116;Thu May 03 09:49:25 GMT+02:00 2018;;;;;;;;;
36.71349701;-4.431594208;4.214785576;Thu May 03 09:49:17 GMT+02:00 2018;;;;;;;;;
36.71331073;-4.431309206;4.644762993;Thu May 03 09:49:10 GMT+02:00 2018;;;;;;;;;
36.71309953;-4.431090269;2.308325291;Thu May 03 09:49:02 GMT+02:00 2018;;;;;;;;;
36.7129206;-4.431348669;4.523490906;Thu May 03 09:48:54 GMT+02:00 2018;;;;;;;;;
36.7126188;-4.431360653;5.511096478;Thu May 03 09:48:47 GMT+02:00 2018;;;;;;;;;
36.71232252;-4.4312202;4.058187485;Thu May 03 09:48:41 GMT+02:00 2018;;;;;;;;;
36.71207533;-4.431054158;3.813140869;Thu May 03 09:48:33 GMT+02:00 2018;;;;;;;;;
36.71182855;-4.430852289;5.167926788;Thu May 03 09:48:25 GMT+02:00 2018;;;;;;;;;
36.7115906;-4.43065063;3.340747833;Thu May 03 09:48:16 GMT+02:00 2018;;;;;;;;;
36.71138792;-4.430410328;4.548285007;Thu May 03 09:48:08 GMT+02:00 2018;;;;;;;;;
36.71117531;-4.430147867;4.268490314;Thu May 03 09:48:00 GMT+02:00 2018;;;;;;;;;
36.71099516;-4.429873584;4.390420437;Thu May 03 09:47:54 GMT+02:00 2018;;;;;;;;;
36.71084245;-4.429552471;3.566332579;Thu May 03 09:47:49 GMT+02:00 2018;;;;;;;;;
36.71063732;-4.429280741;3.352581024;Thu May 03 09:47:41 GMT+02:00 2018;;;;;;;;;
36.71045092;-4.429033636;3.218551397;Thu May 03 09:47:33 GMT+02:00 2018;;;;;;;;;
36.71021795;-4.428841892;4.398718834;Thu May 03 09:47:26 GMT+02:00 2018;;;;;;;;;
36.7100064;-4.42860333;3.741732836;Thu May 03 09:47:20 GMT+02:00 2018;;;;;;;;;
36.70979999;-4.428377038;5.502710342;Thu May 03 09:47:13 GMT+02:00 2018;;;;;;;;;
36.70957269;-4.428136595;3.949832201;Thu May 03 09:47:05 GMT+02:00 2018;;;;;;;;;
36.70930574;-4.428275914;4.421411514;Thu May 03 09:46:57 GMT+02:00 2018;;;;;;;;;
36.70906583;-4.428477754;4.406780243;Thu May 03 09:46:50 GMT+02:00 2018;;;;;;;;;
36.7088226;-4.428646613;4.246482372;Thu May 03 09:46:43 GMT+02:00 2018;;;;;;;;;
36.70856576;-4.42880454;3.357770681;Thu May 03 09:46:35 GMT+02:00 2018;;;;;;;;;
36.70833696;-4.429035953;5.083369732;Thu May 03 09:46:18 GMT+02:00 2018;;;;;;;;;
36.70810337;-4.429263476;4.453665733;Thu May 03 09:46:11 GMT+02:00 2018;;;;;;;;;
36.70786133;-4.429464341;3.938068628;Thu May 03 09:46:04 GMT+02:00 2018;;;;;;;;;
36.70762701;-4.429684734;4.319157124;Thu May 03 09:45:57 GMT+02:00 2018;;;;;;;;;
36.70738105;-4.429920269;4.90947628;Thu May 03 09:45:50 GMT+02:00 2018;;;;;;;;;
36.70714375;-4.430152882;4.279773235;Thu May 03 09:45:44 GMT+02:00 2018;;;;;;;;;
36.70691393;-4.430363353;4.56822443;Thu May 03 09:45:38 GMT+02:00 2018;;;;;;;;;
36.70666656;-4.430571408;4.244195461;Thu May 03 09:45:31 GMT+02:00 2018;;;;;;;;;
36.70643946;-4.43083518;3.58000946;Thu May 03 09:45:24 GMT+02:00 2018;;;;;;;;;
36.70620778;-4.431077021;5.117408752;Thu May 03 09:45:16 GMT+02:00 2018;;;;;;;;;
36.70594137;-4.431285602;5.202638149;Thu May 03 09:45:10 GMT+02:00 2018;;;;;;;;;
36.7056941;-4.431485156;5.03764534;Thu May 03 09:45:04 GMT+02:00 2018;;;;;;;;;
