latitude;longitude;speed;date
36.72275675;-4.706785816;8.411927223;Sat May 05 12:51:10 GMT+02:00 2018
36.72279586;-4.706402574;8.242921829;Sat May 05 12:51:06 GMT+02:00 2018
36.72285746;-4.706023961;7.767323494;Sat May 05 12:51:02 GMT+02:00 2018
36.72286864;-4.705600307;6.456591606;Sat May 05 12:50:57 GMT+02:00 2018
36.72275899;-4.705234044;6.575085163;Sat May 05 12:50:52 GMT+02:00 2018
36.72259667;-4.704961953;6.12049675;Sat May 05 12:50:47 GMT+02:00 2018
36.7222828;-4.704880121;10.54056931;Sat May 05 12:50:42 GMT+02:00 2018
36.72193277;-4.704928481;10.19438362;Sat May 05 12:50:38 GMT+02:00 2018
36.72168004;-4.704768975;10.87690639;Sat May 05 12:50:35 GMT+02:00 2018
36.72150074;-4.704474155;10.78989601;Sat May 05 12:50:32 GMT+02:00 2018
36.72135766;-4.704138488;11.03373909;Sat May 05 12:50:29 GMT+02:00 2018
36.72126435;-4.703716039;9.215321541;Sat May 05 12:50:25 GMT+02:00 2018
36.72123468;-4.703330143;7.798062325;Sat May 05 12:50:21 GMT+02:00 2018
36.72116514;-4.70297766;7.637661457;Sat May 05 12:50:17 GMT+02:00 2018
36.72090897;-4.702852912;8.925759315;Sat May 05 12:50:13 GMT+02:00 2018
36.72058139;-4.702784844;9.858773232;Sat May 05 12:50:09 GMT+02:00 2018
36.72031066;-4.702723238;9.382330894;Sat May 05 12:50:06 GMT+02:00 2018
36.72017421;-4.702395265;8.129689217;Sat May 05 12:50:00 GMT+02:00 2018
36.7202986;-4.702002081;8.991666794;Sat May 05 12:49:56 GMT+02:00 2018
36.72030295;-4.701626119;7.054656029;Sat May 05 12:49:52 GMT+02:00 2018
36.72029181;-4.701272581;9.08069706;Sat May 05 12:49:48 GMT+02:00 2018
36.72020444;-4.700866502;9.246356964;Sat May 05 12:49:44 GMT+02:00 2018
36.72015463;-4.700437315;11.91382217;Sat May 05 12:49:40 GMT+02:00 2018
36.72015575;-4.699960562;16.36146736;Sat May 05 12:49:37 GMT+02:00 2018
36.72016877;-4.699572794;18.1385479;Sat May 05 12:49:35 GMT+02:00 2018
36.72019589;-4.699157284;19.17147827;Sat May 05 12:49:33 GMT+02:00 2018
36.72023816;-4.698733255;19.87244987;Sat May 05 12:49:31 GMT+02:00 2018
36.72029299;-4.698293163;20.52828979;Sat May 05 12:49:29 GMT+02:00 2018
36.7203359;-4.697843889;20.80058289;Sat May 05 12:49:27 GMT+02:00 2018
36.72038249;-4.697366616;22.65507507;Sat May 05 12:49:25 GMT+02:00 2018
36.7204235;-4.696863452;23.13446236;Sat May 05 12:49:23 GMT+02:00 2018
36.72045844;-4.696339283;24.43322945;Sat May 05 12:49:21 GMT+02:00 2018
36.72048821;-4.695791435;24.9740181;Sat May 05 12:49:19 GMT+02:00 2018
36.72049342;-4.695230043;24.52111053;Sat May 05 12:49:17 GMT+02:00 2018
36.7204739;-4.694672805;24.48723793;Sat May 05 12:49:15 GMT+02:00 2018
36.72042841;-4.694117339;25.49576187;Sat May 05 12:49:13 GMT+02:00 2018
36.72036462;-4.693557885;24.8755703;Sat May 05 12:49:11 GMT+02:00 2018
36.72028378;-4.693022892;24.34890556;Sat May 05 12:49:09 GMT+02:00 2018
36.72017644;-4.692495131;24.58511925;Sat May 05 12:49:07 GMT+02:00 2018
36.72004002;-4.691975393;24.56521606;Sat May 05 12:49:05 GMT+02:00 2018
36.71988698;-4.691462822;24.74010086;Sat May 05 12:49:03 GMT+02:00 2018
36.71972782;-4.690944101;25.09824944;Sat May 05 12:49:01 GMT+02:00 2018
36.71956654;-4.690423124;24.82912445;Sat May 05 12:48:59 GMT+02:00 2018
36.71940332;-4.689903523;25.08325386;Sat May 05 12:48:57 GMT+02:00 2018
36.71926756;-4.689361576;25.40994453;Sat May 05 12:48:55 GMT+02:00 2018
36.71915489;-4.688815709;25.41342163;Sat May 05 12:48:53 GMT+02:00 2018
36.71906262;-4.688259557;25.41820335;Sat May 05 12:48:51 GMT+02:00 2018
36.71901881;-4.687696498;25.5667057;Sat May 05 12:48:49 GMT+02:00 2018
36.71900132;-4.687135913;25.30423355;Sat May 05 12:48:47 GMT+02:00 2018
36.71900757;-4.686570497;25.54538536;Sat May 05 12:48:45 GMT+02:00 2018
36.71904262;-4.686003595;25.75647545;Sat May 05 12:48:43 GMT+02:00 2018
