latitude;longitude;speed;date
36.71545154;-4.476177805;0.664989471;Wed May 02 20:04:56 GMT+02:00 2018
36.71524268;-4.475953071;0.78278023;Wed May 02 20:04:17 GMT+02:00 2018
36.71497304;-4.475925526;0.96265626;Wed May 02 20:03:54 GMT+02:00 2018
36.7146944;-4.475888537;1.209457636;Wed May 02 20:03:26 GMT+02:00 2018
36.71446303;-4.475713824;1.47863853;Wed May 02 20:02:58 GMT+02:00 2018
36.71418777;-4.475633646;1.203028321;Wed May 02 20:02:39 GMT+02:00 2018
36.7139347;-4.475487072;0.694911599;Wed May 02 20:01:26 GMT+02:00 2018
36.71387633;-4.475149684;1.10301578;Wed May 02 20:00:57 GMT+02:00 2018
36.7138394;-4.47481645;0.926477075;Wed May 02 20:00:33 GMT+02:00 2018
36.71381821;-4.474472444;1.411893129;Wed May 02 20:00:07 GMT+02:00 2018
36.71380242;-4.474131544;0.730621636;Wed May 02 19:59:44 GMT+02:00 2018
36.71379651;-4.473792929;1.353733301;Wed May 02 19:59:22 GMT+02:00 2018
36.71376961;-4.473449686;1.296490312;Wed May 02 19:58:57 GMT+02:00 2018
36.71349491;-4.473504794;1.165024281;Wed May 02 19:58:43 GMT+02:00 2018
36.71325065;-4.473347107;1.10122025;Wed May 02 19:58:12 GMT+02:00 2018
36.71312859;-4.473040839;0.896351397;Wed May 02 19:57:44 GMT+02:00 2018
36.71317642;-4.47270615;0.243140563;Wed May 02 19:57:18 GMT+02:00 2018
36.71312961;-4.472370937;0.938102126;Wed May 02 19:56:56 GMT+02:00 2018
36.71310161;-4.472036839;0.888364375;Wed May 02 19:56:24 GMT+02:00 2018
36.71308099;-4.471695357;1.296857834;Wed May 02 19:55:59 GMT+02:00 2018
36.71307269;-4.471347253;0.581623912;Wed May 02 19:55:31 GMT+02:00 2018
36.71303404;-4.471013872;1.351790667;Wed May 02 19:54:49 GMT+02:00 2018
36.71298027;-4.470676622;1.050676107;Wed May 02 19:54:19 GMT+02:00 2018
36.71294003;-4.470332536;1.18430829;Wed May 02 19:53:53 GMT+02:00 2018
36.71289208;-4.469986208;0.687182665;Wed May 02 19:53:22 GMT+02:00 2018
36.71285864;-4.46965044;0.652511954;Wed May 02 19:52:53 GMT+02:00 2018
36.71278637;-4.469322366;1.223736048;Wed May 02 19:52:25 GMT+02:00 2018
36.71277539;-4.468985452;0.996907651;Wed May 02 19:52:01 GMT+02:00 2018
36.71276276;-4.468646028;0.494564891;Wed May 02 19:51:38 GMT+02:00 2018
36.71251481;-4.468504905;0.984846413;Wed May 02 19:51:05 GMT+02:00 2018
36.71224476;-4.468571028;0.834376335;Wed May 02 19:50:36 GMT+02:00 2018
36.71199022;-4.468430411;0.771594226;Wed May 02 19:49:55 GMT+02:00 2018
36.71201024;-4.468088544;0.606328607;Wed May 02 19:49:20 GMT+02:00 2018
36.71199844;-4.467749206;1.019263506;Wed May 02 19:48:28 GMT+02:00 2018
36.71196831;-4.467407827;0.260599315;Wed May 02 19:47:16 GMT+02:00 2018
36.71139934;-4.468266592;0.356492579;Wed May 02 19:47:15 GMT+02:00 2018
36.71192811;-4.467351933;0.627470851;Wed May 02 19:47:14 GMT+02:00 2018
36.71169675;-4.467742449;0.957898855;Wed May 02 19:47:13 GMT+02:00 2018
36.71214522;-4.467375709;0.645855606;Wed May 02 19:21:15 GMT+02:00 2018
36.71194087;-4.467675068;0.961261094;Wed May 02 19:21:13 GMT+02:00 2018
36.71204555;-4.467239075;2.362767696;Wed May 02 19:21:11 GMT+02:00 2018
36.71185482;-4.466899446;1.901663065;Wed May 02 19:21:10 GMT+02:00 2018
36.71199245;-4.467637856;0.583698273;Wed May 02 19:13:55 GMT+02:00 2018
36.7119988;-4.467983823;0.589244247;Wed May 02 19:13:24 GMT+02:00 2018
36.71200259;-4.468323047;0.831732571;Wed May 02 19:12:48 GMT+02:00 2018
36.7121692;-4.468600808;1.114557266;Wed May 02 19:12:16 GMT+02:00 2018
36.71242532;-4.468725447;1.297086835;Wed May 02 19:11:48 GMT+02:00 2018
36.7127034;-4.46868482;0.983950734;Wed May 02 19:11:25 GMT+02:00 2018
36.71283771;-4.468982464;0.745858908;Wed May 02 19:10:57 GMT+02:00 2018
36.71286612;-4.469317873;1.166805148;Wed May 02 19:10:31 GMT+02:00 2018
36.71288017;-4.469654289;1.06974256;Wed May 02 19:10:06 GMT+02:00 2018
36.71291454;-4.469994023;1.2199651;Wed May 02 19:09:43 GMT+02:00 2018
36.71297265;-4.470322665;1.188513994;Wed May 02 19:09:20 GMT+02:00 2018
36.71301292;-4.47067241;1.198729277;Wed May 02 19:08:56 GMT+02:00 2018
36.71304445;-4.47101646;0.997322261;Wed May 02 19:08:27 GMT+02:00 2018
36.71306239;-4.471351661;1.370809793;Wed May 02 19:08:03 GMT+02:00 2018
36.7131195;-4.471680724;1.182076335;Wed May 02 19:07:35 GMT+02:00 2018
36.71313858;-4.472015791;0.919401228;Wed May 02 19:07:12 GMT+02:00 2018
