latitude;longitude;speed;date;incr. Lat. (m);incr. Lon. (m);ATAN2;Direccion;Cambio;;De M laga a C ceres en coche;
39.47134167;-6.37194667;0;Thu Jun 14 19:08:19 GMT+02:00 2018;-30.00;4.43;-1.42415869;S;;;;
39.47161167;-6.37199833;0;Thu Jun 14 19:07:46 GMT+02:00 2018;-26.30;15.58;-1.03585740;S;;;;
39.47184833;-6.37218;0;Thu Jun 14 19:07:15 GMT+02:00 2018;-17.96;25.16;-0.62005361;E;;;;
39.47201;-6.37247333;0;Thu Jun 14 19:06:55 GMT+02:00 2018;-17.41;27.45;-0.56521869;E;;;;
39.47216667;-6.37279333;1.142;Thu Jun 14 19:06:28 GMT+02:00 2018;-21.30;21.59;-0.77863032;E;;;;
39.47235833;-6.373045;0;Thu Jun 14 19:06:09 GMT+02:00 2018;-33.70;1.86;-1.51570714;S;;;;
39.47266167;-6.37306667;0;Thu Jun 14 19:05:42 GMT+02:00 2018;-30.37;0.57;-1.55198970;S;;;;
39.472935;-6.37307333;0;Thu Jun 14 19:05:19 GMT+02:00 2018;-30.37;-2.43;-1.65063412;S;;;;
39.47320833;-6.373045;0;Thu Jun 14 19:04:56 GMT+02:00 2018;-30.37;15.15;-1.10801274;S;****;;;
39.47348167;-6.37322167;0.556;Thu Jun 14 19:04:13 GMT+02:00 2018;-17.78;-34.59;-2.66688755;W;****;;;
39.47364167;-6.37281833;0;Thu Jun 14 19:02:37 GMT+02:00 2018;23.33;-57.18;2.75414216;W;****;;;
39.47343167;-6.37215167;0;Thu Jun 14 19:02:36 GMT+02:00 2018;-17.59;61.90;-0.27692060;E;;;;
39.47359;-6.37287333;0;Thu Jun 14 18:59:27 GMT+02:00 2018;-38.70;22.59;-1.04254350;S;;;;
39.47393833;-6.37313667;1.483;Thu Jun 14 18:59:24 GMT+02:00 2018;-22.59;20.16;-0.84236413;S;****;;;
39.47414167;-6.37337167;2.617;Thu Jun 14 18:59:07 GMT+02:00 2018;19.26;-24.44;2.47425754;W;;;;
39.47396833;-6.37308667;1.807;Thu Jun 14 18:58:58 GMT+02:00 2018;8.15;-31.73;2.89027098;W;;;;
39.473895;-6.37271667;0;Thu Jun 14 18:58:50 GMT+02:00 2018;31.67;-24.44;2.22817769;N;;;;
39.47361;-6.37243167;0;Thu Jun 14 18:58:40 GMT+02:00 2018;20.00;-23.44;2.43530461;W;****;;;
39.47343;-6.37215833;1.827;Thu Jun 14 18:58:32 GMT+02:00 2018;16.11;27.16;0.53539140;E;****;;;
39.473285;-6.372475;1.813;Thu Jun 14 18:58:16 GMT+02:00 2018;-15.00;26.30;-0.51828209;E;****;;;
39.47342;-6.37278167;0;Thu Jun 14 18:57:59 GMT+02:00 2018;-30.19;0.71;-1.54713208;S;;;;
39.47369167;-6.37279;0;Thu Jun 14 18:55:56 GMT+02:00 2018;-25.74;-20.44;-2.24195332;S;****;;;
