latitude;longitude;speed;date;;;;latitude;longitude;;
36.69880333;-4.436398236;3.563385487;Wed May 02 14:43:33 GMT+02:00 2018;;;;;;;
36.69904349;-4.436166906;3.066646099;Wed May 02 14:43:23 GMT+02:00 2018;;;;;;;
36.69929328;-4.436011191;3.982782364;Wed May 02 14:43:15 GMT+02:00 2018;;;;;;;
36.6995571;-4.4358477;3.505288363;Wed May 02 14:43:06 GMT+02:00 2018;;;;;;;
36.69981475;-4.435682517;4.24561882;Wed May 02 14:42:58 GMT+02:00 2018;;;;;;;
36.70008844;-4.435571588;4.573198318;Wed May 02 14:42:51 GMT+02:00 2018;;;;;;;
36.7003587;-4.435448141;4.456937313;Wed May 02 14:42:44 GMT+02:00 2018;;;;;;;
36.70066627;-4.435454576;4.228915215;Wed May 02 14:42:36 GMT+02:00 2018;;;;;;;
36.70085683;-4.4351825;4.777445793;Wed May 02 14:42:29 GMT+02:00 2018;;;;;;;
36.70106297;-4.43491076;4.638738155;Wed May 02 14:42:22 GMT+02:00 2018;;;;;;;
36.70125909;-4.434670936;5.003328323;Wed May 02 14:42:16 GMT+02:00 2018;;;;;;;
36.70144524;-4.434415185;4.850784302;Wed May 02 14:42:10 GMT+02:00 2018;;;;;;;
36.70163329;-4.434146696;4.462556362;Wed May 02 14:42:03 GMT+02:00 2018;;;;;;;
36.70181073;-4.433866103;2.98897624;Wed May 02 14:38:50 GMT+02:00 2018;;;;;;;
36.7020445;-4.433686464;3.852919102;Wed May 02 14:38:41 GMT+02:00 2018;;;;;;;
36.70229936;-4.433502488;4.499795914;Wed May 02 14:38:34 GMT+02:00 2018;;;;;;;
36.70253761;-4.433321157;3.641094685;Wed May 02 14:38:26 GMT+02:00 2018;;;;;;;
36.70278644;-4.433127469;3.760035992;Wed May 02 14:38:18 GMT+02:00 2018;;;;;;;
36.70305551;-4.433036231;3.762593746;Wed May 02 14:38:07 GMT+02:00 2018;;;;;;;
36.70331178;-4.433220773;3.405880928;Wed May 02 14:37:55 GMT+02:00 2018;;;;;;;
36.70356954;-4.43302888;3.845252514;Wed May 02 14:37:45 GMT+02:00 2018;;;;;;;
36.703828;-4.432838408;4.206137657;Wed May 02 14:37:38 GMT+02:00 2018;;;;;;;
36.70409085;-4.432651587;4.389708042;Wed May 02 14:37:31 GMT+02:00 2018;;;;;;;
36.70436076;-4.432453177;4.025458336;Wed May 02 14:37:23 GMT+02:00 2018;;;;;;;
36.70462376;-4.4322547;3.98461771;Wed May 02 14:37:15 GMT+02:00 2018;;;;;;;
36.70490973;-4.432140325;4.110075951;Wed May 02 14:37:07 GMT+02:00 2018;;;;;;;
36.70514536;-4.431955326;3.916674137;Wed May 02 14:37:00 GMT+02:00 2018;;;;;;;
36.70539503;-4.431731986;4.545929432;Wed May 02 14:36:53 GMT+02:00 2018;;;;;;;
36.70562419;-4.431519395;3.565384388;Wed May 02 14:36:46 GMT+02:00 2018;;;;;;;
36.70585635;-4.431320958;4.614442348;Wed May 02 14:36:39 GMT+02:00 2018;;;;;;;
36.70611527;-4.431137218;4.460313797;Wed May 02 14:36:32 GMT+02:00 2018;;;;;;;
36.70636358;-4.430967307;4.106305599;Wed May 02 14:36:26 GMT+02:00 2018;;;;;;;
36.70658553;-4.430757288;4.281845093;Wed May 02 14:36:20 GMT+02:00 2018;;;;;;;
36.70681889;-4.430498906;3.589171648;Wed May 02 14:36:12 GMT+02:00 2018;;;;;;;
36.70703679;-4.430269299;4.139923573;Wed May 02 14:36:05 GMT+02:00 2018;;;;;;;
36.70726341;-4.430043964;3.869526863;Wed May 02 14:35:58 GMT+02:00 2018;;;;;;;
36.70748888;-4.429850816;4.142029762;Wed May 02 14:35:52 GMT+02:00 2018;;;;;;;
36.70774462;-4.429660399;4.117138386;Wed May 02 14:35:44 GMT+02:00 2018;;;;;;;
36.70799448;-4.429438312;4.010382652;Wed May 02 14:35:36 GMT+02:00 2018;;;;;;;
36.70822126;-4.429222091;4.173754215;Wed May 02 14:35:29 GMT+02:00 2018;;;;;;;
36.70845853;-4.429000833;3.451869011;Wed May 02 14:35:21 GMT+02:00 2018;;;;;;;
36.70873009;-4.428830726;2.887602329;Wed May 02 14:34:57 GMT+02:00 2018;;;;;;;
36.7088966;-4.428529797;2.965914726;Wed May 02 14:34:49 GMT+02:00 2018;;;;;;;
36.70913277;-4.42829569;4.069777489;Wed May 02 14:34:42 GMT+02:00 2018;;;;;;;
36.70936299;-4.428100441;2.820090532;Wed May 02 14:34:35 GMT+02:00 2018;;;;;;;
36.7096442;-4.428039221;2.928060293;Wed May 02 14:34:26 GMT+02:00 2018;;;;;;;
36.70986285;-4.428297242;1.820263028;Wed May 02 14:34:16 GMT+02:00 2018;;;;;;;
36.71006058;-4.42855117;5.398277283;Wed May 02 14:33:56 GMT+02:00 2018;;;;;;;
36.71020684;-4.428835847;4.114166737;Wed May 02 14:33:51 GMT+02:00 2018;;;;;;;
36.71043095;-4.429095639;4.667956829;Wed May 02 14:33:44 GMT+02:00 2018;;;;;;;
36.71063145;-4.429345838;3.941198349;Wed May 02 14:33:38 GMT+02:00 2018;;;;;;;
36.71075386;-4.42968725;2.611490965;Wed May 02 14:33:28 GMT+02:00 2018;;;;;;;
36.71092932;-4.42996893;5.987657547;Wed May 02 14:33:20 GMT+02:00 2018;;;;;;;
36.71112903;-4.430251818;4.138284206;Wed May 02 14:33:15 GMT+02:00 2018;;;;;;;
36.71137339;-4.430469696;1.362995267;Wed May 02 14:32:56 GMT+02:00 2018;;;;;;;
36.71154662;-4.430735372;1.101935267;Wed May 02 14:32:35 GMT+02:00 2018;;;;;;;
36.71178171;-4.430924154;1.592037439;Wed May 02 14:32:07 GMT+02:00 2018;;;;;;;
36.71206498;-4.430899574;1.429381847;Wed May 02 14:31:46 GMT+02:00 2018;;;;;;;
36.71228988;-4.431110344;1.050945401;Wed May 02 14:31:29 GMT+02:00 2018;;;;;;;
36.71251475;-4.431311841;1.676762938;Wed May 02 14:30:59 GMT+02:00 2018;;;;;;;
36.71275332;-4.431481784;1.167127252;Wed May 02 14:30:22 GMT+02:00 2018;;;;;;;
36.71299129;-4.431302509;1.371363401;Wed May 02 14:28:47 GMT+02:00 2018;;;;;;;
36.71295575;-4.431655156;0.901967883;Wed May 02 14:28:39 GMT+02:00 2018;;;;;;;
36.71314514;-4.431906084;1.090651155;Wed May 02 14:28:20 GMT+02:00 2018;;;;;;;
36.71338362;-4.432086993;0.654937089;Wed May 02 14:27:56 GMT+02:00 2018;;;;;;;
36.71364369;-4.431972345;1.063800335;Wed May 02 14:27:39 GMT+02:00 2018;;;;;;;
36.71390758;-4.431817875;1.279641867;Wed May 02 14:27:28 GMT+02:00 2018;;;;;;;
36.71418333;-4.431795649;0.614718735;Wed May 02 14:27:03 GMT+02:00 2018;;;;;;;
36.7144067;-4.431989701;0.994259238;Wed May 02 14:26:31 GMT+02:00 2018;;;;;;;
36.71468315;-4.431913114;1.704779267;Wed May 02 14:26:08 GMT+02:00 2018;;;;;;;
36.71490023;-4.431682932;1.371660352;Wed May 02 14:25:51 GMT+02:00 2018;;;;;;;
